Train_Id,Est_arrival_time,Origin,Destination,Delay_minutes,Delay_reason,Cancel_reason
1154761EUSTON__,09:31,Tring,London Euston,3,,
1140063EUSTON__,09:35,Holyhead,London Euston,0,,
1151750EUSTON__,09:36,Watford Junction,London Euston,0,,
1154041EUSTON__,09:37,Milton Keynes Central,London Euston,0,,
1140329EUSTON__,09:38,Manchester Piccadilly,London Euston,0,,
1140067EUSTON__,09:41,Manchester Piccadilly,London Euston,0,,
1153433EUSTON__,09:48,Birmingham New Street,London Euston,0,,
1154771EUSTON__,09:52,Tring,London Euston,0,,
1151754EUSTON__,09:52,Watford Junction,London Euston,0,,
1139058EUSTON__,09:54,Birmingham New Street,London Euston,0,,
1154781EUSTON__,10:00,Tring,London Euston,0,,
1139481EUSTON__,10:03,Liverpool Lime Street,London Euston,0,,
1139679EUSTON__,10:06,Birmingham New Street,London Euston,0,,
1151759EUSTON__,10:06,Watford Junction,London Euston,0,,
1154050EUSTON__,10:08,Milton Keynes Central,London Euston,0,,
1138988EUSTON__,10:09,Manchester Piccadilly,London Euston,0,,
1148370EUSTON__,10:12,Glasgow Central,London Euston,0,,
1153438EUSTON__,10:17,Birmingham New Street,London Euston,0,,
1154791EUSTON__,10:22,Tring,London Euston,0,,
1151764EUSTON__,10:22,Watford Junction,London Euston,0,,
1154761EUSTON__,09:31,Tring,London Euston,3,,
1140063EUSTON__,09:35,Holyhead,London Euston,0,,
1151750EUSTON__,09:36,Watford Junction,London Euston,0,,
1154041EUSTON__,09:37,Milton Keynes Central,London Euston,0,,
1140329EUSTON__,09:38,Manchester Piccadilly,London Euston,0,,
1140067EUSTON__,09:41,Manchester Piccadilly,London Euston,0,,
1153433EUSTON__,09:48,Birmingham New Street,London Euston,0,,
1154771EUSTON__,09:52,Tring,London Euston,0,,
1151754EUSTON__,09:52,Watford Junction,London Euston,0,,
1139058EUSTON__,09:54,Birmingham New Street,London Euston,0,,
1154781EUSTON__,10:00,Tring,London Euston,0,,
1139481EUSTON__,10:03,Liverpool Lime Street,London Euston,0,,
1139679EUSTON__,10:06,Birmingham New Street,London Euston,0,,
1151759EUSTON__,10:06,Watford Junction,London Euston,0,,
1154050EUSTON__,10:08,Milton Keynes Central,London Euston,0,,
1138988EUSTON__,10:09,Manchester Piccadilly,London Euston,0,,
1148370EUSTON__,10:12,Glasgow Central,London Euston,0,,
1153438EUSTON__,10:17,Birmingham New Street,London Euston,0,,
1154791EUSTON__,10:22,Tring,London Euston,0,,
1151764EUSTON__,10:22,Watford Junction,London Euston,0,,
